code;name;sitecode;lat;lon;start;stop;teff;lm;f;qua
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 00:21:00;2012-01-04 00:42:00;0.3500;5.750;1.000;1
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 00:42:00;2012-01-04 00:52:00;0.1500;5.600;1.000;2
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 00:53:00;2012-01-04 01:13:00;0.3330;5.750;1.000;3
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 01:18:00;2012-01-04 01:35:00;0.2830;5.750;1.000;6
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 01:36:00;2012-01-04 01:44:00;0.1330;5.750;1.000;1
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 01:51:00;2012-01-04 02:04:00;0.2160;5.500;1.000;1
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 02:07:00;2012-01-04 02:22:00;0.2500;5.100;1.000;11
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 02:26:00;2012-01-04 02:39:00;0.2160;5.100;1.000;5
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 02:40:00;2012-01-04 02:49:00;0.1500;5.100;1.000;4
AGAIC;Ioan Agavriloaiei;23838;47.7681;26.2964;2012-01-04 03:02:00;2012-01-04 03:26:00;0.4000;5.100;1.000;15
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 03:26:00;2012-01-04 03:31:00;0.0830;6.400;1.000;7
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 03:31:00;2012-01-04 03:36:00;0.0830;6.400;1.080;2
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 03:36:00;2012-01-04 03:41:00;0.0830;6.400;1.000;3
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 03:41:00;2012-01-04 03:46:00;0.0830;6.400;1.000;2
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 03:46:00;2012-01-04 03:51:00;0.0830;6.400;1.000;2
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 03:51:00;2012-01-04 03:56:00;0.0830;6.400;1.000;2
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 04:01:00;2012-01-04 04:06:00;0.0830;6.400;1.000;9
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 04:06:00;2012-01-04 04:11:00;0.0830;6.400;1.000;6
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 04:11:00;2012-01-04 04:16:00;0.0830;6.400;1.000;5
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 04:16:00;2012-01-04 04:21:00;0.0830;6.400;1.000;4
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 04:21:00;2012-01-04 04:26:00;0.0830;6.400;1.000;4
ANTKE;Karl Antier;13868;43.8467;5.7925;2012-01-04 04:26:00;2012-01-04 04:31:00;0.0830;6.400;1.000;4
ARLRB;Rainer Arlt;11155;52.4419;12.8958;2012-01-04 04:38:00;2012-01-04 04:55:00;0.2830;5.850;1.110;4
ARLRB;Rainer Arlt;11155;52.4419;12.8958;2012-01-04 04:57:00;2012-01-04 05:12:00;0.2500;5.360;1.110;7
ARLRB;Rainer Arlt;11155;52.4419;12.8958;2012-01-04 05:12:00;2012-01-04 05:22:00;0.1670;5.360;1.110;5
ARLRB;Rainer Arlt;11155;52.4419;12.8958;2012-01-04 05:22:00;2012-01-04 05:30:00;0.1330;5.790;1.110;3
ARLRB;Rainer Arlt;11155;52.4419;12.8958;2012-01-04 05:30:00;2012-01-04 05:43:00;0.2170;5.790;1.000;9
ARLRB;Rainer Arlt;11155;52.4419;12.8958;2012-01-04 05:47:00;2012-01-04 06:00:00;0.2170;5.490;1.000;9
BALFO;Fodor Balázs;17104;47.4500;19.4833;2012-01-04 00:17:00;2012-01-04 00:48:00;0.5100;5.000;1.000;4
BARLE;Leonardo Barbosa;14079;-7.9936;-34.8381;2012-01-04 06:00:00;2012-01-04 06:15:00;0.2333;4.730;1.150;2
BARLE;Leonardo Barbosa;14079;-7.9936;-34.8381;2012-01-04 06:15:00;2012-01-04 06:30:00;0.2166;4.730;1.150;0
BARLE;Leonardo Barbosa;14079;-7.9936;-34.8381;2012-01-04 06:30:00;2012-01-04 06:45:00;0.1833;4.730;1.150;2
BARLE;Leonardo Barbosa;14079;-7.9936;-34.8381;2012-01-04 06:45:00;2012-01-04 07:00:00;0.2150;4.730;1.150;0
BARLE;Leonardo Barbosa;14079;-7.9936;-34.8381;2012-01-04 07:00:00;2012-01-04 07:15:00;0.1680;4.730;1.150;0
BARLE;Leonardo Barbosa;14079;-7.9936;-34.8381;2012-01-04 07:15:00;2012-01-04 07:30:00;0.1140;4.000;1.150;2
BERSV;Steve Berte;72042;39.4467;-77.5219;2012-01-04 08:25:00;2012-01-04 08:55:00;0.5000;5.480;1.000;9
BERSV;Steve Berte;72042;39.4467;-77.5219;2012-01-04 09:00:00;2012-01-04 09:55:00;0.9170;5.480;1.000;19
BIEJR;Jean-Marie Biets;61488;50.7167;5.1000;2012-01-04 01:55:00;2012-01-04 03:10:00;1.2500;6.000;1.000;9
BIRZB;Zsofia Biro;17122;47.6667;18.4000;2012-01-03 19:45:00;2012-01-03 20:45:00;1.0000;6.000;2.000;1
BIRZB;Zsofia Biro;17122;47.6667;18.4000;2012-01-03 21:55:00;2012-01-03 22:55:00;1.0000;5.000;2.000;1
BIRZB;Zsofia Biro;17122;47.6667;18.4000;2012-01-04 00:45:00;2012-01-04 01:45:00;1.0000;4.000;2.000;13
BIRZB;Zsofia Biro;17122;47.6667;18.4000;2012-01-04 01:45:00;2012-01-04 02:45:00;1.0000;6.000;2.000;15
BIRZB;Zsofia Biro;17122;47.6667;18.4000;2012-01-04 02:45:00;2012-01-04 03:45:00;1.0000;6.000;2.000;20
BIRZB;Zsofia Biro;17122;47.6667;18.4000;2012-01-04 03:45:00;2012-01-04 04:45:00;1.0000;6.000;2.000;36
BIRZB;Zsofia Biro;17122;47.6667;18.4000;2012-01-04 04:45:00;2012-01-04 05:15:00;0.5000;5.000;2.000;21
BRIJJ;Jens Briesemeister;3546;47.0000;11.0000;2012-01-04 03:00:00;2012-01-04 03:15:00;0.2500;6.400;1.000;1
BRIJJ;Jens Briesemeister;3546;47.0000;11.0000;2012-01-04 03:15:00;2012-01-04 03:30:00;0.2500;6.400;1.000;2
BRIJJ;Jens Briesemeister;3546;47.0000;11.0000;2012-01-04 03:30:00;2012-01-04 03:45:00;0.2500;6.400;1.000;5
BRIJJ;Jens Briesemeister;3546;47.0000;11.0000;2012-01-04 03:45:00;2012-01-04 04:00:00;0.2500;6.400;1.000;7
BRIJJ;Jens Briesemeister;3546;47.0000;11.0000;2012-01-04 04:00:00;2012-01-04 04:15:00;0.2500;6.400;1.000;7
BRIJJ;Jens Briesemeister;3546;47.0000;11.0000;2012-01-04 04:15:00;2012-01-04 04:30:00;0.2500;6.400;1.000;3
BROSV;Steven Brown;1228;54.7950;-1.3117;2012-01-04 05:58:00;2012-01-04 06:13:00;0.2500;5.030;1.000;4
BROSV;Steven Brown;1228;54.7950;-1.3117;2012-01-04 06:13:00;2012-01-04 06:28:00;0.2500;5.030;1.000;4
BROSV;Steven Brown;1228;54.7950;-1.3117;2012-01-04 06:28:00;2012-01-04 06:43:00;0.2500;4.670;1.110;2
BROSV;Steven Brown;1228;54.7950;-1.3117;2012-01-04 06:43:00;2012-01-04 06:58:00;0.2500;2.800;2.000;3
CHRAP;Apostolos Christou;4193;37.6500;24.0333;2012-01-04 02:04:00;2012-01-04 02:54:00;0.8300;5.440;1.340;8
CHRAP;Apostolos Christou;4193;37.6500;24.0333;2012-01-04 03:50:00;2012-01-04 04:20:00;0.5000;5.440;1.710;11
COSDE;Daniel Cosovanu;85508;47.7600;25.8400;2012-01-04 02:50:00;2012-01-04 03:10:00;0.2900;5.900;1.000;10
COSDE;Daniel Cosovanu;85508;47.7600;25.8400;2012-01-04 03:11:00;2012-01-04 03:42:00;0.3800;5.900;1.000;13
COSDE;Daniel Cosovanu;85508;47.7600;25.8400;2012-01-04 03:47:00;2012-01-04 04:10:00;0.3500;5.640;1.000;4
COSIB;Ilie Cosovanu;29649;47.7600;25.8400;2012-01-04 02:50:00;2012-01-04 03:15:00;0.3800;5.230;1.000;7
COSIB;Ilie Cosovanu;29649;47.7600;25.8400;2012-01-04 03:25:00;2012-01-04 03:35:00;0.1600;5.230;1.000;5
COSIB;Ilie Cosovanu;29649;47.7600;25.8400;2012-01-04 03:40:00;2012-01-04 04:10:00;0.4800;4.900;1.000;9
DAVMK;Mark Davis;25259;32.7583;-79.8556;2012-01-04 07:54:00;2012-01-04 08:54:00;0.9700;5.110;1.180;11
DAVMK;Mark Davis;25259;32.7583;-79.8556;2012-01-04 08:54:00;2012-01-04 09:54:00;0.9900;5.110;1.180;8
DETPT;Peter Detterline;6950;40.3014;-75.7006;2012-01-04 07:09:00;2012-01-04 08:44:00;1.5800;5.100;1.000;11
DETPT;Peter Detterline;6950;40.3014;-75.7006;2012-01-04 09:11:00;2012-01-04 09:41:00;0.5000;5.300;1.000;11
DETPT;Peter Detterline;6950;40.3014;-75.7006;2012-01-04 09:42:00;2012-01-04 10:34:00;0.8700;5.300;1.000;15
DIJSJ;Sietse Dijkstra;58450;52.3011;6.6967;2012-01-04 00:50:00;2012-01-04 01:00:00;0.1670;5.700;1.000;1
DIJSJ;Sietse Dijkstra;58450;52.3011;6.6967;2012-01-04 01:00:00;2012-01-04 01:15:00;0.2500;5.700;1.000;3
DIJSJ;Sietse Dijkstra;58450;52.3011;6.6967;2012-01-04 01:15:00;2012-01-04 01:30:00;0.2500;5.700;1.000;1
DIJSJ;Sietse Dijkstra;58450;52.3011;6.6967;2012-01-04 01:30:00;2012-01-04 01:40:00;0.1670;5.800;1.200;2
DIMTD;Todor Dimitrov;29504;43.1201;27.6706;2012-01-03 22:15:00;2012-01-04 00:00:00;1.2800;4.930;1.050;6
DIMTD;Todor Dimitrov;29504;43.1201;27.6706;2012-01-04 00:00:00;2012-01-04 01:35:00;1.2000;5.200;1.050;7
EBRMT;motahareh Ebrahimi;81234;37.2167;50.0000;2012-01-04 02:15:00;2012-01-04 02:29:00;0.1900;5.000;1.000;6
EBRMT;motahareh Ebrahimi;81234;37.2167;50.0000;2012-01-04 02:30:00;2012-01-04 02:50:00;0.2900;4.930;1.000;5
EBRMT;motahareh Ebrahimi;81234;37.2167;50.0000;2012-01-04 02:51:00;2012-01-04 03:05:00;0.2100;4.790;1.000;4
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 00:07:00;2012-01-04 00:16:00;0.0900;5.600;1.000;1
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 00:16:00;2012-01-04 00:25:00;0.0900;5.600;1.000;4
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 00:25:00;2012-01-04 00:35:00;0.1600;5.600;1.000;2
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 00:35:00;2012-01-04 00:45:00;0.1600;5.600;1.000;1
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 00:45:00;2012-01-04 00:55:00;0.1600;5.600;1.000;6
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 00:55:00;2012-01-04 01:05:00;0.1600;5.600;1.000;3
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 01:05:00;2012-01-04 01:16:00;0.0900;5.600;1.000;2
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 01:35:00;2012-01-04 01:45:00;0.1600;5.600;1.000;4
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 01:45:00;2012-01-04 01:55:00;0.1600;5.600;1.000;2
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 01:55:00;2012-01-04 02:05:00;0.1600;5.600;1.000;2
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 02:05:00;2012-01-04 02:27:00;0.3600;5.600;1.000;3
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 02:36:00;2012-01-04 02:45:00;0.0900;5.600;1.000;4
EINSL;Shlomi Eini;8764;32.0000;35.0000;2012-01-04 02:45:00;2012-01-04 02:55:00;0.1600;5.600;1.000;2
FLERH;Richard Fleet;92880;51.4333;-1.8000;2012-01-04 00:45:00;2012-01-04 01:45:00;0.8300;4.600;1.000;5
FLERH;Richard Fleet;92880;51.4333;-1.8000;2012-01-04 02:15:00;2012-01-04 03:00:00;0.6700;4.900;1.000;8
FLERH;Richard Fleet;92880;51.4333;-1.8000;2012-01-04 04:10:00;2012-01-04 04:29:00;0.2300;6.000;1.000;5
FLERH;Richard Fleet;92880;51.4333;-1.8000;2012-01-04 04:30:00;2012-01-04 04:44:00;0.1800;6.000;1.000;10
FLERH;Richard Fleet;92880;51.4333;-1.8000;2012-01-04 04:45:00;2012-01-04 04:59:00;0.2000;6.000;1.000;8
FLERH;Richard Fleet;92880;51.4333;-1.8000;2012-01-04 05:00:00;2012-01-04 05:15:00;0.2000;6.000;1.000;6
FLERH;Richard Fleet;92880;51.4333;-1.8000;2012-01-04 05:35:00;2012-01-04 05:50:00;0.1800;6.000;1.000;9
FLERH;Richard Fleet;92880;51.4333;-1.8000;2012-01-04 05:51:00;2012-01-04 06:10:00;0.2300;6.000;1.000;18
GODWB;William Godley;83206;35.9478;-95.7125;2012-01-05 10:20:00;2012-01-05 11:20:00;1.0000;5.400;1.050;4
GODWM;William Godley;83206;35.9478;-95.7125;2012-01-04 08:20:00;2012-01-04 09:45:00;1.4200;4.700;1.100;9
HALSA;Shy Halatzi;80233;31.8122;35.0100;2012-01-03 23:58:00;2012-01-04 00:15:00;0.2800;5.700;1.000;2
HALSA;Shy Halatzi;80233;31.8122;35.0100;2012-01-04 00:15:00;2012-01-04 00:32:00;0.2800;5.700;1.000;8
HALSA;Shy Halatzi;80233;31.8122;35.0100;2012-01-04 00:32:00;2012-01-04 00:45:00;0.2160;5.700;1.000;2
HALSA;Shy Halatzi;80233;31.8122;35.0100;2012-01-04 00:45:00;2012-01-04 01:05:00;0.3330;5.700;1.000;5
HALSA;Shy Halatzi;80233;31.8122;35.0100;2012-01-04 01:46:00;2012-01-04 01:54:00;0.1330;5.700;1.000;2
HALSA;Shy Halatzi;80233;31.8122;35.0100;2012-01-04 01:54:00;2012-01-04 02:18:00;0.4000;5.700;1.000;9
HALSA;Shy Halatzi;80233;31.8122;35.0100;2012-01-04 02:42:00;2012-01-04 02:55:00;0.2160;5.700;1.000;3
HALSA;Shy Halatzi;80233;31.8122;35.0100;2012-01-04 02:55:00;2012-01-04 03:27:00;0.5330;5.700;1.000;9
HANOI;Oliver Hanke;20956;52.2436;13.2156;2012-01-04 02:35:00;2012-01-04 03:10:00;0.5800;5.560;2.500;7
HANOI;Oliver Hanke;20956;52.2436;13.2156;2012-01-04 03:10:00;2012-01-04 03:30:00;0.3300;5.560;1.100;2
HANOI;Oliver Hanke;20956;52.2436;13.2156;2012-01-04 03:30:00;2012-01-04 03:55:00;0.4200;4.800;1.050;5
HERCL;Carl Hergenrother;60832;32.2819;-110.7683;2012-01-04 12:33:00;2012-01-04 12:55:00;0.3200;6.000;1.000;6
HERCL;Carl Hergenrother;60832;32.2819;-110.7683;2012-01-04 12:55:00;2012-01-04 13:16:00;0.3100;6.000;1.000;10
HOUJN;Jane Houston Jones;32124;34.1511;-117.9858;2012-01-04 07:00:00;2012-01-04 07:29:00;0.4000;3.900;1.000;0
HOUJN;Jane Houston Jones;32124;34.1511;-117.9858;2012-01-04 07:30:00;2012-01-04 08:00:00;0.4500;3.900;1.000;0
HOUJN;Jane Houston Jones;32124;34.1511;-117.9858;2012-01-04 08:01:00;2012-01-04 08:31:00;0.4500;3.900;1.000;0
HOUJN;Jane Houston Jones;32124;34.1511;-117.9858;2012-01-04 11:00:00;2012-01-04 11:30:00;0.4500;4.600;1.000;3
HOUJN;Jane Houston Jones;32124;34.1511;-117.9858;2012-01-04 11:31:00;2012-01-04 12:01:00;0.4500;5.100;1.000;3
HOUJN;Jane Houston Jones;32124;34.1511;-117.9858;2012-01-04 12:02:00;2012-01-04 12:30:00;0.4500;5.100;1.000;5
HOUJN;Jane Houston Jones;32124;34.1511;-117.9858;2012-01-04 12:31:00;2012-01-04 13:01:00;0.4500;4.600;1.000;3
HOUJN;Jane Houston Jones;32124;34.1511;-117.9858;2012-01-04 13:02:00;2012-01-04 13:17:00;0.2500;2.900;1.000;2
HUACE;Chengyun Huang;51359;31.2944;121.4983;2012-01-04 16:30:00;2012-01-04 17:00:00;0.4000;3.400;2.500;0
HUACE;Chengyun Huang;51359;31.2944;121.4983;2012-01-04 18:00:00;2012-01-04 18:20:00;0.3000;3.800;1.500;1
HUACE;Chengyun Huang;51359;31.2944;121.4983;2012-01-04 18:20:00;2012-01-04 18:40:00;0.3000;3.800;1.800;1
HUACH;Chengyun Huang;33608;31.2753;121.5886;2012-01-03 20:00:00;2012-01-03 20:30:00;0.5000;2.300;2.000;0
HUACH;Chengyun Huang;33608;31.2753;121.5886;2012-01-03 20:30:00;2012-01-03 21:00:00;0.5000;2.400;1.800;0
HUACH;Chengyun Huang;33608;31.2753;121.5886;2012-01-03 21:00:00;2012-01-03 21:30:00;0.5000;2.600;1.500;1
JONGE;Gregory  Jones;40591;34.7833;-118.8833;2012-01-04 11:17:00;2012-01-04 12:17:00;1.0000;6.000;1.000;18
JONKD;Karoly Jonas;17122;47.6667;18.4000;2012-01-03 19:45:00;2012-01-03 20:45:00;1.0000;6.000;2.000;0
JONKD;Karoly Jonas;17122;47.6667;18.4000;2012-01-03 21:55:00;2012-01-03 22:55:00;1.0000;5.000;2.000;2
JONKD;Karoly Jonas;17122;47.6667;18.4000;2012-01-04 00:45:00;2012-01-04 01:45:00;1.0000;5.000;2.000;7
JONKD;Karoly Jonas;17122;47.6667;18.4000;2012-01-04 01:45:00;2012-01-04 02:45:00;1.0000;6.000;2.000;20
JONKD;Karoly Jonas;17122;47.6667;18.4000;2012-01-04 02:45:00;2012-01-04 03:45:00;1.0000;6.000;2.000;6
JONKD;Karoly Jonas;17122;47.6667;18.4000;2012-01-04 03:45:00;2012-01-04 04:45:00;1.0000;6.000;2.000;30
JONKD;Karoly Jonas;17122;47.6667;18.4000;2012-01-04 04:45:00;2012-01-04 05:30:00;0.7500;5.000;2.000;9
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 22:50:00;2012-01-03 22:55:00;0.0830;5.700;1.110;3
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 22:55:00;2012-01-03 23:00:00;0.0830;5.700;1.110;1
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:00:00;2012-01-03 23:05:00;0.0830;5.700;1.110;4
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:05:00;2012-01-03 23:10:00;0.0830;5.700;1.110;1
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:10:00;2012-01-03 23:15:00;0.0830;5.700;1.110;2
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:15:00;2012-01-03 23:20:00;0.0830;5.700;1.110;2
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:20:00;2012-01-03 23:25:00;0.0830;5.700;1.110;1
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:25:00;2012-01-03 23:30:00;0.0830;5.700;1.110;2
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:30:00;2012-01-03 23:35:00;0.0830;5.700;1.110;0
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:35:00;2012-01-03 23:40:00;0.0830;5.700;1.110;1
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:40:00;2012-01-03 23:45:00;0.0830;5.700;1.110;1
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:45:00;2012-01-03 23:50:00;0.0830;5.700;1.110;1
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:50:00;2012-01-03 23:55:00;0.0830;5.700;1.110;1
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-03 23:55:00;2012-01-04 00:00:00;0.0830;5.700;1.110;2
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-04 00:00:00;2012-01-04 00:05:00;0.0830;5.700;1.110;1
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-04 00:05:00;2012-01-04 00:10:00;0.0830;5.700;1.110;2
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-04 00:10:00;2012-01-04 00:15:00;0.0830;5.700;1.110;1
KARMY;Mayura Karandikar;73393;18.3875;73.6128;2012-01-04 00:15:00;2012-01-04 00:20:00;0.0830;5.700;1.110;1
KAZMA;masoume kazemi;63930;37.2167;50.0000;2012-01-04 02:15:00;2012-01-04 02:29:00;0.1830;4.930;1.000;6
KAZMA;masoume kazemi;63930;37.2167;50.0000;2012-01-04 02:30:00;2012-01-04 02:44:00;0.2000;4.810;1.000;3
KAZMA;masoume kazemi;63930;37.2167;50.0000;2012-01-04 02:45:00;2012-01-04 03:05:00;0.3080;4.790;1.000;3
KNÖAD;André Knöfel;11123;52.2167;14.1167;2012-01-04 01:30:00;2012-01-04 02:25:00;0.8700;5.670;1.000;6
KNÖAD;André Knöfel;11123;52.2167;14.1167;2012-01-04 02:25:00;2012-01-04 03:05:00;0.6500;6.250;1.030;8
KNÖAN;André Knöfel;11123;52.2167;14.1167;2012-01-03 01:50:00;2012-01-03 02:40:00;0.7800;6.020;1.020;2
KNÖAN;André Knöfel;11123;52.2167;14.1167;2012-01-03 02:40:00;2012-01-03 03:30:00;0.7600;6.070;1.000;1
KNÖAN;André Knöfel;11123;52.2167;14.1167;2012-01-03 03:30:00;2012-01-03 04:20:00;0.7800;6.240;1.000;3
KNÖAN;André Knöfel;11123;52.2167;14.1167;2012-01-03 04:20:00;2012-01-03 05:30:00;1.0800;6.100;1.000;2
KOBKS;Katsuyuki Kobayashi;30133;35.4408;138.7461;2012-01-03 17:50:00;2012-01-03 18:20:00;0.5000;4.400;1.000;0
KRARF;Richard Kramer;66325;42.1089;-71.1811;2012-01-04 07:50:00;2012-01-04 08:03:00;0.2170;3.500;1.100;3
KRARF;Richard Kramer;66325;42.1089;-71.1811;2012-01-04 08:04:00;2012-01-04 08:12:00;0.1330;3.500;1.100;2
KRARF;Richard Kramer;66325;42.1089;-71.1811;2012-01-04 08:13:00;2012-01-04 08:21:00;0.1330;3.500;1.100;0
LEVAG;Anna Levin;69874;32.0000;35.0000;2012-01-04 00:00:00;2012-01-04 00:10:00;0.1600;5.600;1.000;4
LEVAG;Anna Levin;69874;32.0000;35.0000;2012-01-04 00:15:00;2012-01-04 00:25:00;0.1600;5.600;1.000;4
LEVAG;Anna Levin;69874;32.0000;35.0000;2012-01-04 00:25:00;2012-01-04 00:35:00;0.1600;5.600;1.000;2
LEVAG;Anna Levin;69874;32.0000;35.0000;2012-01-04 00:35:00;2012-01-04 00:45:00;0.1600;5.600;1.000;2
LEVAG;Anna Levin;69874;32.0000;35.0000;2012-01-04 00:45:00;2012-01-04 00:55:00;0.1600;5.600;1.000;3
