code;name;sitecode;lat;lon;start;stop;teff;lm;f;qua
CERAC;Ana Cernok;36902;19.9264;44.2458;2014-01-03 01:14:00;2014-01-03 01:41:00;0.4500;5.000;1.000;0
CERAC;Ana Cernok;36902;19.9264;44.2458;2014-01-03 01:41:00;2014-01-03 02:12:00;0.5200;5.400;1.000;1
CERAE;Ana Cernok;49376;44.2458;15.9264;2014-01-03 01:14:00;2014-01-03 01:41:00;0.4500;5.000;1.000;0
CERAE;Ana Cernok;49376;44.2458;15.9264;2014-01-03 01:41:00;2014-01-03 02:12:00;0.5200;5.400;1.000;1
CERAF;Ana Cernok;99855;44.2458;19.9264;2014-01-03 18:10:00;2014-01-03 18:33:00;0.3800;5.150;1.000;4
CERAF;Ana Cernok;99855;44.2458;19.9264;2014-01-03 18:33:00;2014-01-03 18:53:00;0.3300;5.500;1.000;1
CERAF;Ana Cernok;99855;44.2458;19.9264;2014-01-03 18:53:00;2014-01-03 19:14:00;0.3500;5.500;1.000;0
CERAF;Ana Cernok;99855;44.2458;19.9264;2014-01-03 19:14:00;2014-01-03 19:33:00;0.3200;5.500;1.000;5
CERAF;Ana Cernok;99855;44.2458;19.9264;2014-01-03 19:33:00;2014-01-03 19:57:00;0.4000;5.600;1.000;6
CERAF;Ana Cernok;99855;44.2458;19.9264;2014-01-03 19:57:00;2014-01-03 20:24:00;0.4500;5.650;1.000;2
CHEWU;Wushuang Chenye;31187;43.4708;87.1778;2014-01-03 20:31:00;2014-01-03 20:37:00;0.1000;5.160;1.110;12
CHEWU;Wushuang Chenye;31187;43.4708;87.1778;2014-01-03 20:38:00;2014-01-03 20:44:00;0.1000;5.160;1.110;11
CHOS-;Seok-hee Cho;66822;34.3364;126.8283;2014-01-01 19:25:00;2014-01-01 19:55:00;0.5000;5.000;1.000;1
CHOS-;Seok-hee Cho;66822;34.3364;126.8283;2014-01-01 20:15:00;2014-01-01 21:00:00;0.7500;5.000;1.000;1
CHOSD;Seok-hee Cho;22347;34.3364;126.8283;2014-01-03 19:10:00;2014-01-03 19:50:00;0.6670;4.000;1.200;6
CHOSD;Seok-hee Cho;22347;34.3364;126.8283;2014-01-03 20:00:00;2014-01-03 20:40:00;0.6670;4.300;1.200;7
COSDJ;Daniel Cosovanu;76919;47.6931;25.8394;2014-01-03 20:30:00;2014-01-03 20:55:00;0.3000;5.430;1.000;14
COSDK;Daniel Cosovanu;45917;47.8614;25.8269;2014-01-04 17:30:00;2014-01-04 18:15:00;0.6660;4.230;2.000;2
COSIV;Ilie Cosovanu;65586;47.6931;25.8394;2014-01-03 20:55:00;2014-01-03 21:24:00;0.2400;5.410;1.000;11
CSOTE;Tibor Csorgei;37280;48.0850;17.5467;2014-01-03 18:42:00;2014-01-03 19:12:00;0.5000;6.100;1.000;7
