code;name;sitecode;lat;lon;start;stop;teff;lm;f;lyr
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-21 01:48:00;2007-04-21 02:19:00;0.4800;6.400;1.000;2
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-21 02:19:00;2007-04-21 02:50:00;0.4500;6.370;1.000;0
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-22 00:26:00;2007-04-22 01:02:00;0.5300;6.490;1.000;1
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-22 01:02:00;2007-04-22 01:37:00;0.5200;6.470;1.000;1
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-22 01:37:00;2007-04-22 02:14:00;0.5200;6.450;1.000;1
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-22 02:14:00;2007-04-22 02:49:00;0.4500;6.470;1.000;2
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-23 00:47:00;2007-04-23 01:10:00;0.3200;6.540;1.000;4
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-23 01:10:00;2007-04-23 01:30:00;0.2700;6.520;1.000;5
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-23 01:30:00;2007-04-23 01:50:00;0.2800;6.500;1.000;2
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-23 01:50:00;2007-04-23 02:10:00;0.3200;6.500;1.000;0
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-23 02:10:00;2007-04-23 02:30:00;0.3000;6.490;1.000;0
BUCAN;ANDREAS BUCHMANN;16520;47.3819;8.8994;2007-04-23 02:30:00;2007-04-23 02:50:00;0.2700;6.490;1.000;4
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-21 19:33:00;2007-04-21 20:37:00;1.0000;6.450;1.000;1
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-21 20:37:00;2007-04-21 21:42:00;1.0000;6.750;1.000;3
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-21 21:42:00;2007-04-21 22:49:00;1.0000;6.800;1.000;2
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-22 19:14:00;2007-04-22 19:45:00;0.5000;6.450;1.000;2
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-22 19:45:00;2007-04-22 20:20:00;0.5000;6.600;1.000;4
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-22 20:20:00;2007-04-22 20:53:00;0.5000;6.500;1.000;3
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-22 20:53:00;2007-04-22 21:27:00;0.5000;6.500;1.000;6
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-22 21:27:00;2007-04-22 22:00:00;0.5000;6.100;1.000;5
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-22 22:00:00;2007-04-22 22:34:00;0.5000;6.400;1.000;4
DORDA;DARIUSZ DOROSZ;34078;51.8000;22.6000;2007-04-22 22:34:00;2007-04-22 23:07:00;0.5000;6.400;1.000;2
FLEGN;Gunther  Fleerackers;88691;50.7667;4.7167;2007-04-22 22:00:00;2007-04-22 23:14:00;1.0000;5.600;1.000;9
